File_Name,Em,Ed,El,LEm,ATm,Asm,ASd,EDm,FPm,FMm,FCm,Tm,Td,PCm,PCd,Pm,Pd,Cm,Cd,Cl,Chh,KCm,KCd,Mm,Md,Hm,ESm,Rm,Im,Id,Bm,Bd,SCm,SCd,Zm,Zd,Sm,Km,SEm,SEd,SFm,Fm,REm,REd,M1m,D1m,M2m,D2m,M3m,D3m,M4m,D4m,M5m,D5m,M6m,D6m,M7m,D7m,RSm,RSd,RRm,RRd,RTm,RTd,RGm,RGd,class
02-every_morning.mp3       ,0.293749,0.009181,0.003355,0.404296 ,0.063384 ,5176119.538407 ,4634529.355687 ,3.315773 ,691.000000 ,16374.791345 ,4.640640 ,106.688670,10.952442,0.521591 ,0.107105 ,515.902020,387.717864,-0.000000,0.243165,0.256793,-13064144325.801481,0.600065 ,0.154691 ,0.076450,0.113745,0.390852,0.904532 ,2953.567936,NaN,NaN,0.860242,0.088640,2466.763821 ,897.271896 ,1166.867749,651.778832,0.515545,249411090404.489320,0.758891 ,0.068295 ,175.041056 ,0.063924,0.568004 ,0.267597 ,1.934314 ,-0.001512 ,-0.055200 ,0.000242 ,0.439461 ,0.000903 ,0.328503 ,-0.000529 ,0.294983 ,-0.000617 ,0.003230 ,-0.000704 ,-0.037884 ,-0.000596 ,89.545823 ,36.303845 ,77.061472 ,34.321447 ,81.807311 ,46.714601 ,93.577339 ,46.582292 ,happy
02-it_s_alright_baby.mp3       ,0.291227,0.007422,0.004264,0.513600 ,0.065273 ,5443640.643766 ,4770288.248655 ,3.786863 ,1070.000000 ,8858.002848 ,4.748624 ,128.797890,28.687047,0.602257 ,0.039897 ,453.921072,406.945039,0.000000,0.276657,0.208915,-34894168631.397568,0.505337 ,0.153159 ,-0.046819,0.093924,0.348868,0.888923 ,2107.811525,0.471742,0.016061,0.862522,0.076133,2564.421363 ,948.653188 ,843.386288,552.440145,0.767794,195843852968.115780,0.758762 ,0.061831 ,188.743670 ,0.098344,0.644984 ,0.319626 ,2.485492 ,0.001676 ,0.035516 ,-0.000276 ,0.572198 ,0.000783 ,-0.041785 ,0.000303 ,0.285180 ,0.000612 ,-0.019852 ,0.000367 ,0.020601 ,-0.000042 ,68.176014 ,48.124957 ,70.408336 ,53.242240 ,93.320428 ,69.804276 ,97.267901 ,73.889373 ,happy
02-let_s_groove.mp3       ,0.106392,0.005218,0.002798,0.568282 ,0.074403 ,1473983.794465 ,1334554.001422 ,2.907754 ,787.000000 ,19849.134834 ,4.860569 ,124.207392,6.114410,0.565346 ,0.069108 ,504.997649,289.655563,0.000000,0.471002,0.331530,-6759342028.352792,0.546269 ,0.164120 ,-0.025887,0.125586,0.385340,0.932215 ,409.657512,NaN,NaN,0.909970,0.066012,3757.582570 ,1308.960736 ,1795.754796,1367.431848,1.164495,45537040220.438065,0.817242 ,0.059153 ,80.306205 ,0.123443,0.627333 ,0.348468 ,2.270508 ,0.001326 ,0.240728 ,0.001154 ,0.194552 ,0.000585 ,-0.021139 ,0.000598 ,0.005943 ,-0.000151 ,0.039835 ,-0.000228 ,-0.173590 ,-0.000941 ,75.849621 ,34.261759 ,47.219695 ,21.516928 ,69.436228 ,35.983190 ,90.737099 ,44.398306 ,happy
02-mmmbop.mp3       ,0.221979,0.007264,0.004045,0.536048 ,0.056398 ,4616200.672553 ,3546494.274730 ,4.274354 ,1318.000000 ,8663.774232 ,4.734777 ,103.288082,23.302826,0.552022 ,0.058229 ,556.046131,442.650041,0.000000,0.214418,0.195619,-26713207631.630985,0.576713 ,0.165045 ,0.019152,0.075287,0.328876,0.907681 ,1357.610483,NaN,NaN,0.854817,0.082468,3087.838207 ,863.647997 ,1258.735537,652.787600,0.780989,162023700410.682070,0.795503 ,0.050335 ,161.194275 ,0.106661,0.566003 ,0.293413 ,1.737927 ,-0.001681 ,-0.038805 ,-0.001001 ,0.575892 ,-0.000092 ,0.237948 ,-0.000378 ,0.146692 ,0.000619 ,0.053873 ,-0.000117 ,0.137726 ,-0.000096 ,73.556186 ,34.740831 ,62.765542 ,35.202150 ,91.006133 ,55.383578 ,90.956500 ,49.867249 ,happy
02-my_oh_my.mp3       ,0.221233,0.009127,0.005004,0.588356 ,0.064059 ,5782180.729189 ,4118964.166021 ,3.777336 ,836.000000 ,17292.933247 ,4.813232 ,133.004198,0.101184,0.676750 ,0.062326 ,573.576913,386.981660,0.000000,0.255861,0.202693,-27214479004.882988,0.503315 ,0.150962 ,-0.050249,0.117970,0.287774,0.921537 ,1033.148809,NaN,NaN,0.894492,0.077205,4013.883041 ,1127.118436 ,1975.264463,1226.671060,0.808558,118111094059.250670,0.825784 ,0.052230 ,182.037109 ,0.121370,0.678244 ,0.340466 ,1.424829 ,-0.003459 ,0.427155 ,0.000683 ,0.213320 ,-0.000528 ,0.063042 ,-0.000308 ,0.257993 ,-0.000846 ,0.072453 ,0.000870 ,0.133913 ,-0.001135 ,42.461909 ,26.135243 ,26.076260 ,18.212572 ,68.344421 ,37.960193 ,70.415811 ,38.467319 ,happy
02-new_life.mp3       ,0.230906,0.009460,0.007334,0.559954 ,0.065625 ,11843411.270801 ,5364916.681336 ,4.883721 ,987.000000 ,19459.298666 ,4.998020 ,137.690057,25.632922,0.606326 ,0.048461 ,408.624359,387.390199,0.000000,0.332592,0.211143,-39354046433.383369,0.544153 ,0.163975 ,0.050515,0.086103,0.296940,0.921613 ,2240.319997,NaN,NaN,0.915144,0.074366,3208.504386 ,1100.030426 ,1805.505804,1133.517875,0.653270,132813713154.851550,0.800471 ,0.057309 ,187.785938 ,0.133755,0.615104 ,0.289779 ,1.485804 ,0.000548 ,0.242634 ,-0.001943 ,0.658470 ,0.000235 ,-0.033043 ,-0.000957 ,0.451587 ,0.000302 ,-0.015654 ,0.000300 ,-0.040280 ,0.000299 ,61.692132 ,35.704040 ,50.538286 ,34.706670 ,86.286212 ,59.810849 ,82.907795 ,50.049876 ,happy
02-she_s_so_high.mp3       ,0.285501,0.009851,0.005631,0.582616 ,0.066632 ,7689328.655060 ,6444108.965648 ,3.709893 ,773.000000 ,4529.472768 ,4.983912 ,121.556685,10.450308,0.454612 ,0.116484 ,504.732474,336.311027,0.000000,0.389165,0.461359,-29441359283.115215,0.609116 ,0.139171 ,0.003693,0.138303,0.308601,0.916130 ,2701.233911,NaN,NaN,0.932131,0.044486,3253.809489 ,919.928583 ,1670.859049,812.833630,0.663700,233590764641.352260,0.812674 ,0.053564 ,204.229895 ,0.157291,0.617065 ,0.276990 ,1.887875 ,0.000156 ,-0.030369 ,-0.000367 ,0.545346 ,0.000798 ,0.083523 ,0.000450 ,0.077533 ,-0.000575 ,0.030504 ,0.000180 ,0.052224 ,0.000116 ,78.320034 ,46.616780 ,72.586082 ,44.796845 ,100.048496 ,71.642126 ,107.578386 ,63.588978 ,happy
02-soak_up_the_sun.mp3       ,0.230771,0.013101,0.008309,0.633185 ,0.091440 ,12035834.638782 ,11884452.285345 ,2.220013 ,754.000000 ,14062.765524 ,4.561823 ,119.969439,0.046128,0.436483 ,0.076489 ,455.968688,243.269404,-0.000000,0.272638,0.312562,-23243785758.888428,0.560439 ,0.143385 ,-0.033484,0.086267,0.392503,0.913114 ,709.563151,NaN,NaN,0.898931,0.106639,3163.329749 ,1382.659831 ,1478.495868,1347.264380,0.855645,109803978513.407590,0.777082 ,0.066703 ,159.658567 ,0.146956,0.662097 ,0.385103 ,2.081761 ,-0.003865 ,-0.137443 ,0.001476 ,0.370859 ,-0.000746 ,0.124828 ,-0.000064 ,0.041527 ,-0.000854 ,0.115859 ,0.000426 ,0.088648 ,0.000486 ,58.538734 ,25.971312 ,26.419774 ,14.783725 ,67.861911 ,35.275569 ,76.856337 ,32.435930 ,happy
02-the_rainbow.mp3       ,0.290551,0.007721,0.004089,0.485705 ,0.057946 ,5878303.610263 ,4730775.212189 ,3.857972 ,730.000000 ,10788.712897 ,4.565785 ,110.652751,13.888050,0.494182 ,0.091515 ,476.521218,398.624318,0.000000,0.247567,0.249909,-24037644134.277893,0.538019 ,0.166327 ,0.033920,0.108463,0.302746,0.943354 ,6242.858681,NaN,NaN,0.932339,0.038957,4578.794706 ,866.198845 ,2583.730835,1031.003310,0.643043,245877196449.969700,0.862842 ,0.030981 ,212.107973 ,0.179846,0.543623 ,0.231972 ,1.220469 ,0.000956 ,0.410291 ,-0.000629 ,0.620485 ,0.001742 ,0.136294 ,0.000931 ,0.259441 ,-0.001652 ,-0.032540 ,-0.001055 ,0.148983 ,0.000233 ,64.633267 ,37.786472 ,73.221237 ,53.158312 ,65.967305 ,50.436444 ,76.064116 ,51.256847 ,happy
02-walkie_talkie_man.mp3       ,0.354879,0.008628,0.004471,0.542800 ,0.051975 ,8251409.077894 ,6742418.304590 ,4.712911 ,887.000000 ,6684.665631 ,4.950436 ,126.109874,27.439344,0.425195 ,0.064696 ,536.136666,419.966784,0.000000,0.196535,0.136980,-27028304036.003445,0.519475 ,0.154191 ,-0.021412,0.109920,0.366421,0.915616 ,5471.500874,NaN,NaN,0.898695,0.046847,3080.842300 ,756.163086 ,1485.144988,574.963370,0.548117,394019618449.222840,0.814001 ,0.040735 ,261.994999 ,0.166636,0.614245 ,0.297288 ,1.365449 ,0.000220 ,-0.199626 ,-0.000940 ,0.689663 ,-0.000041 ,0.239978 ,0.000980 ,0.068803 ,0.000678 ,-0.044962 ,-0.000223 ,0.139874 ,0.000262 ,68.271487 ,32.611218 ,66.551248 ,46.063728 ,92.287024 ,53.557244 ,92.171162 ,53.941654 ,happy
